Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Пользователи	МедведевАлексейПетрович					
				Ссылка	a46da8e0-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Медведев Алексей Петрович		
				Код	Медведев Алексей Петрович		
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Мелкий_					
				Ссылка	a46da8de-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Мелкий"		
				СуммаДоговора	90000		
				Менеджер	МедведевАлексейПетрович	Перем	
Справочник	Пользователи	СидоровАндрейВикторович					
				Ссылка	a46da8e1-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Сидоров Андрей Викторович		
				Код	Сидоров Андрей Викторович		
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Средний_					
				Ссылка	a46da8df-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Средний"		
				СуммаДоговора	100000		
				Менеджер	СидоровАндрейВикторович	Перем	
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Крупный_					
				Ссылка	a46da8e2-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Крупный"		
				СуммаДоговора	200000		
				Менеджер	СидоровАндрейВикторович	Перем	
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Мелкий_УЕ					
				Ссылка	a46da8e3-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Мелкий" УЕ		
				СуммаДоговора	5000		
				УсловныеЕдиницы	Истина		
				Менеджер	МедведевАлексейПетрович	Перем	
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Крупный_УЕ					
				Ссылка	a46da8e4-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Крупный" УЕ		
				СуммаДоговора	20000		
				УсловныеЕдиницы	Истина		
				Менеджер	СидоровАндрейВикторович	Перем	
Справочник	_ДоговорыКонтрагентов	ДоговорИП_Средний_УЕ					
				Ссылка	a46da8e5-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Договор ИП "Средний" УЕ		
				ПометкаУдаления	Истина		
				СуммаДоговора	10000		
				УсловныеЕдиницы	Истина		
				Менеджер	СидоровАндрейВикторович	Перем	
Справочник	Пользователи	КалининаВикторияСергеевна					
				Ссылка	a46da900-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Калинина Виктория Сергеевна		
				Код	Калинина Виктория Сергеевна		
Справочник	Пользователи	КазимировВикторПетрович					
				Ссылка	a46da901-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Казимиров Виктор Петрович		
				Код	Калинина Виктория Сергеевна		
Справочник	Пользователи	ВетреннаяМарияПетровна					
				Ссылка	a46da902-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Ветренная Мария Петровна		
				Код	Ветренная Мария Петровна		
Справочник	Пользователи	ЗолотовБорисВикторович					
				Ссылка	a46da903-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Золотов Борис Викторович		
				Код	Золотов Борис Викторович		
Справочник	бпсПодразделенияАдресации	ВсяФирма			ВсяФирма	Предопределенный	
				Ссылка	a46da8ea-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Вся фирма		
Справочник	бпсПодразделенияАдресации	ОтделЗакупок					
				Ссылка	a46da8eb-58b0-11e6-a3e3-00241d83faf4		
				Родитель	ВсяФирма	Перем	
				Наименование	Отдел закупок		
Справочник	бпсПодразделенияАдресации	ЮридическийОтдел					
				Ссылка	a46da8ef-58b0-11e6-a3e3-00241d83faf4		
				Родитель	ВсяФирма	Перем	
				Наименование	Юридический отдел		
Справочник	бпсПодразделенияАдресации	Бухгалтерия					
				Ссылка	a46da8ff-58b0-11e6-a3e3-00241d83faf4		
				Родитель	ВсяФирма	Перем	
				Наименование	Бухгалтерия		
Справочник	бпсТипыОбъектовБД	Объект_ДоговорыКонтрагентов_					
				Ссылка	a46da8e6-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Объект [Договоры контрагентов]		
				ОбъектБДСиноним	Договоры контрагентов		
				ОбъектБДИмяМетаданных	_ДоговорыКонтрагентов		
				МенеджерОбъекта	Справочники		
				МенеджерОбъектаДляЗапроса	Справочник		
Справочник	бпсРолиАдресации	БухгалтерПоставщиков					
				Ссылка	a46da8f5-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Бухгалтер поставщиков		
Справочник	бпсРолиАдресации	ОтветственныйЗаДоговора					
				Наименование	Ответственный за договора		
Справочник	бпсРолиАдресации	РуководительПоЗакупкам					
				Ссылка	a46da8e9-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Руководитель  по закупкам		
Справочник	бпсРолиАдресации	Юрист					
				Ссылка	a46da8ee-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Юрист		
Справочник	бпсРолиАдресации	КоммерческийДиректор					
				Ссылка	a46da8f2-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Коммерческий директор		
Справочник	бпсРолиАдресации	ФинансовыйДиректор					
				Ссылка	a46da8f1-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Финансовый директор		
Справочник	бпсРолиАдресации	ГенеральныйДиректор					
				Ссылка	a46da8f4-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Генеральный директор		
Справочник	бпсРолиАдресации	ОсновнаяРоль			ОсновнаяРоль	Предопределенный	
				Ссылка	a46da8e7-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Основная роль		
Справочник	бпсУчетныеЗаписиЭлектроннойПочты	СистемнаяУчетнаяЗапись			СистемнаяУчетнаяЗаписьЭлектроннойПочты	Предопределенный	
				Ссылка	a46da8fe-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Системная учетная запись		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
				ВремяОжидания	30		
				ИмяПользователя	bps_1c		
				ИспользоватьДляОтправки	Истина		
				Пользователь	bps_1c		
				ПользовательSMTP	bps_1c		
				ПортСервераИсходящейПочты	465		
				СерверИсходящейПочты	smtp.bk.ru		
				Пароль	56N352lQjsmX		
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	РуководительПоЗакупкам	Перем	
				ПодразделениеАдресации	ОтделЗакупок	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_1					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	Юрист	Перем	
				ПодразделениеАдресации	ЮридическийОтдел	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_2					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	ФинансовыйДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_3					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	КоммерческийДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_4					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	ГенеральныйДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_5					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	БухгалтерПоставщиков	Перем	
				ПодразделениеАдресации	Бухгалтерия	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_6					
			Запись				
				Пользователь	МедведевАлексейПетрович	Перем	
				РольАдресации	ФинансовыйДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_7					
			Запись				
				Пользователь	СидоровАндрейВикторович	Перем	
				РольАдресации	ГенеральныйДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_8					
			Запись				
				Пользователь	КалининаВикторияСергеевна	Перем	
				РольАдресации	Юрист	Перем	
				ПодразделениеАдресации	ЮридическийОтдел	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_9					
			Запись				
				Пользователь	КазимировВикторПетрович	Перем	
				РольАдресации	КоммерческийДиректор	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_10					
			Запись				
